SUBZONE_C,SUBZONE_N,PLN_AREA_N,TOTAL_POPULATION,CHILDREN_0_9,ADOLESCENT_10_19,ADULT_20_34,SENIOR_35_59,ELDERLY_60_ABOVE,X_COORDINATE,Y_COORDINATE,SHAPE_Leng,SHAPE_Area
SBSZ05,ADMIRALTY,SEMBAWANG,14510,2070,1840,3000,5840,1760,27091.2755,48333.8005,4534.251888,1261648.748
PLSZ04,AIRPORT ROAD,PAYA LEBAR,0,0,0,0,0,0,35133.3154,37075.3184,3433.884804,494504.0681
BMSZ07,ALEXANDRA HILL,BUKIT MERAH,15370,1190,1530,2900,5460,4290,25358.8208,29991.3842,4428.913436,1030378.786
BMSZ06,ALEXANDRA NORTH,BUKIT MERAH,1030,130,110,190,490,110,26548.2507,30519.3922,2907.051461,293706.3988
GLSZ04,ALJUNIED,GEYLANG,41050,3270,3760,8000,16290,9730,33592.5759,32970.8301,7100.699079,2959367.625
BTSZ01,ANAK BUKIT,BUKIT TIMAH,21990,1830,2740,4540,8080,4800,21127.1918,35561.884,7637.809479,2768353.557
SESZ04,ANCHORVALE,SENGKANG,39190,6350,4620,8670,15160,4390,34218.5354,41815.316,5112.461787,1499108.626
AMSZ01,ANG MO KIO TOWN CENTRE,ANG MO KIO,4990,510,610,910,1980,980,29501.7659,39419.4049,2642.208777,316882.0172
DTSZ10,ANSON,DOWNTOWN CORE,0,0,0,0,0,0,29145.35,28466.7783,1586.100059,103238.4821
NVSZ01,BALESTIER,NOVENA,31860,2880,3030,5700,12740,7510,29975.2639,34194.0676,6804.341011,1926622.002
BPSZ04,BANGKIT,BUKIT PANJANG,23190,1640,2640,5290,9070,4550,21431.2286,39899.5272,4350.135722,763183.4294
DTSZ12,BAYFRONT SUBZONE,DOWNTOWN CORE,0,0,0,0,0,0,30806.2418,29530.167,2897.126426,521200.5224
BDSZ08,BAYSHORE,BEDOK,7390,910,860,1080,3410,1130,40835.377,32903.5965,8698.596958,2550461.673
BDSZ04,BEDOK NORTH,BEDOK,84410,6620,8610,16420,32560,20200,39429.2104,34737.6194,8414.962102,3203663.493
BDSZ02,BEDOK RESERVOIR,BEDOK,26050,2660,3130,5330,10380,4550,38351.1166,35800.6076,6899.5259,2379331.529
BDSZ06,BEDOK SOUTH,BEDOK,49860,4070,5190,9740,18410,12450,40379.4208,33744.2238,7811.589025,2997307.459
RCSZ09,BENCOOLEN,ROCHOR,1460,120,100,250,600,390,29999.0626,31594.594,1916.097548,170664.3045
KLSZ01,BENDEMEER,KALLANG,33820,3110,2840,6480,13210,8180,31175.9571,33827.9445,5603.000911,1376830.045
PNSZ03,BENOI SECTOR,PIONEER,0,0,0,0,0,0,11668.2441,33336.5267,6249.477068,2042630.98
TPSZ10,BIDADARI,TOA PAYOH,0,0,0,0,0,0,32632.5394,35918.015,3323.742838,572502.1398
BSSZ03,BISHAN EAST,BISHAN,28920,2270,2850,6350,10840,6610,30191.9092,36882.1939,5680.719402,1794461.262
SRSZ03,BOAT QUAY,SINGAPORE RIVER,150,10,10,20,60,50,29654.9594,29974.6553,1740.925766,160807.4977
