SUBZONE_C,SUBZONE_N,PLN_AREA_N,TOTAL_POPULATION,% POPULATION,CHILDREN_0_9,% CHILDREN,ADOLESCENT_10_19,% ADOLESCENT,ADULT_20_34,,SENIOR_35_59,,ELDERLY_60_ABOVE,,X_COORDINATE,Y_COORDINATE,SHAPE_Leng,SHAPE_Area
AMSZ01,ANG MO KIO TOWN CENTRE,ANG MO KIO,4990,100,510,10.22,610,12.22,910,18.24,1980,39.68,980,19.64,29501.7659,39419.4049,2642.208777,316882.0172
AMSZ02,CHENG SAN,ANG MO KIO,29070,100,2380,8.19,2520,8.67,5530,19.02,11460,39.42,7180,24.70,30312.1923,39413.3478,4218.958062,955710.1887
AMSZ03,CHONG BOON,ANG MO KIO,27140,100,1820,6.71,2460,9.06,5000,18.42,10340,38.10,7520,27.71,30485.5109,38478.993,4710.53873,1078622.324
AMSZ04,TOWNSVILLE,ANG MO KIO,23290,100,2140,9.19,1880,8.07,4240,18.21,8810,37.83,6220,26.71,29686.468,38599.4995,3313.317413,546403.8635
AMSZ05,SHANGRI-LA,ANG MO KIO,17620,100,1380,7.83,1690,9.59,3270,18.56,6740,38.25,4540,25.77,28564.7156,38888.9209,4019.229526,687930.097
AMSZ06,KEBUN BAHRU,ANG MO KIO,23300,100,1570,6.74,2260,9.70,4240,18.20,9010,38.67,6220,26.70,28700.1674,39496.5061,4288.194231,1046417
AMSZ07,SEMBAWANG HILLS,ANG MO KIO,6900,100,560,8.12,980,14.20,1340,19.42,2440,35.36,1580,22.90,27715.9236,39634.529,4326.111274,894516.0758
AMSZ08,TAGORE,ANG MO KIO,8360,100,680,8.13,1000,11.96,1840,22.01,3080,36.84,1760,21.05,27445.7713,40971.4244,8162.600174,3334192.442
AMSZ09,YIO CHU KANG WEST,ANG MO KIO,26300,100,2210,8.40,2950,11.22,5010,19.05,10260,39.01,5870,22.32,28750.4979,40360.6262,3707.005727,846137.1973
AMSZ10,YIO CHU KANG,ANG MO KIO,0,0,0,0,0,0,0,0,0,0,0,0,29443.7447,40836.0207,4533.218364,909418.5677
AMSZ11,YIO CHU KANG NORTH,ANG MO KIO,0,0,0,0,0,0,0,0,0,0,0,0,29505.9877,41733.4401,6445.242982,1463278.179
AMSZ12,YIO CHU KANG EAST,ANG MO KIO,4040,100,300,7.43,510,12.62,870,21.53,1470,36.39,890,22.03,30234.3682,40602.6508,5592.191081,1861872.042
BDSZ01,KAKI BUKIT,BEDOK,40090,100,2990,7.46,4430,11.05,9290,23.17,14990,37.39,8390,20.93,36485.3951,35307.0408,8153.888135,2820171.679
BDSZ02,BEDOK RESERVOIR,BEDOK,26050,100,2660,10.21,3130,12.02,5330,20.46,10380,39.85,4550,17.47,38351.1166,35800.6076,6899.5259,2379331.529
